25
29
1;100;100;3
2;150;150;3
3;230;200;3
4;100;250;3
5;366;84;3
6;565;74;3
7;840;118;3
8;1018;313;3
9;971;502;3
10;491;561;3
11;844;399;3
12;651;305;3
13;387;319;3
14;174;424;3
15;172;561;3
16;422;623;3
17;722;693;3
18;1118;313;3
19;1139;258;3
20;1146;179;3
21;1117;102;3
22;1045;36;3
23;976;195;3
24;928;93;3
25;639;452;3

1;2;45
3;4;50
3;5;50
12;13;60
13;10;60
14;10;60
10;16;60
16;15;51
7;6;32
6;5;23
5;13;8
12;11;6
11;8;5
11;9;10
12;7;60
7;11;34
9;16;60
14;4;9
13;6;42
16;17;9
17;9;42
8;18;42
2;3;40
2;4;42
18;19;42
19;20;42
20;21;42
21;22;42
22;23;42
23;19;42
7;24;42
